time,motor,position,current
26.3586,7,1911,-14
26.3907,9,1487,-30
26.4226,10,2355,-5
26.4545,11,2840,0
26.4866,12,898,0
26.5186,13,2049,0
26.5506,14,1585,0
26.5825,15,1604,0
26.6145,16,1828,107
26.6466,17,960,31
26.6785,18,2021,1
26.7105,19,1557,-44
26.7425,20,2208,0
26.7746,21,2050,-52
26.8065,22,1221,-5
26.8384,23,2069,-1
26.8705,24,1599,0
26.9025,25,1729,0
26.9509,3,285,-52
26.9828,4,3528,0
27.0144,5,2041,49
27.0464,6,3456,64
27.0784,7,1911,-16
27.1104,9,1487,-39
27.1424,10,2355,-4
27.1745,11,2839,1
27.2063,12,899,0
27.2384,13,2049,0
27.2703,14,1585,0
27.3023,15,1604,0
27.3343,16,1828,106
27.3662,17,960,29
27.3982,18,2021,3
27.4302,19,1556,-44
27.4623,20,2205,6
27.4943,21,2049,-38
27.5263,22,1221,-6
27.5584,23,2067,0
27.5903,24,1599,0
27.6222,25,1732,-6
27.7665,3,284,-53
27.7982,4,3528,0
27.8302,5,2044,55
27.8621,6,3456,60
27.8941,7,1911,-10
27.9261,9,1486,-27
27.9582,10,2326,-89
27.9901,11,2840,0
28.0221,12,900,-8
28.054,13,2049,0
28.086,14,1583,0
28.1181,15,1603,0
28.15,16,1828,105
28.182,17,960,29
28.214,18,2023,0
28.246,19,1556,-42
28.278,20,2205,10
28.31,21,2048,-38
28.3419,22,1221,-5
28.3741,23,2066,0
28.4059,24,1599,0
28.4378,25,1732,-2
28.4864,3,285,-52
28.5181,4,3528,0
28.55,5,2045,44
28.5819,6,3456,63
28.6139,7,1911,-15
28.6461,9,1486,-18
28.6778,10,2311,-15
28.7101,11,2840,0
28.7419,12,937,33
28.7741,13,2049,0
28.8058,14,1585,0
28.8378,15,1603,0
28.8699,16,1829,97
28.9018,17,961,9
28.9338,18,2024,0
28.9658,19,1557,-45
28.9978,20,2205,8
29.0297,21,2048,-39
29.0617,22,1221,-1
29.0937,23,2067,0
29.1257,24,1599,0
29.1578,25,1732,0
29.2066,3,285,-51
29.2377,4,3528,0
29.2696,5,2046,34
29.3154,6,3456,59
29.3495,7,1911,-16
29.3815,9,1486,-16
29.4135,10,2310,-47
29.4456,11,2839,0
29.4774,12,940,44
29.5095,13,2048,0
29.5415,14,1617,134
29.5736,15,1600,12
29.6054,16,1829,100
29.6375,17,962,13
29.6695,18,2025,0
29.7014,19,1556,-44
29.7335,20,2204,10
29.7654,21,2048,-37
29.7974,22,1221,-2
29.8294,23,2066,0
29.8614,24,1599,0
29.8934,25,1733,-2
29.9417,3,285,-52
29.9734,4,3528,0
30.0054,5,2047,27
30.0373,6,3456,63
30.0693,7,1911,-15
30.1013,9,1486,-17
30.1333,10,2305,0
30.1653,11,2840,0
30.1972,12,940,42
30.2293,13,2048,0
30.2613,14,1619,109
30.2933,15,1599,13
30.3252,16,1829,100
30.3572,17,964,2
30.3894,18,2024,0
30.4212,19,1556,-40
30.4532,20,2167,-54
30.4852,21,2048,-41
30.5172,22,1221,-5
30.5492,23,2068,-1
30.5812,24,1597,6
30.6131,25,1728,2
30.6617,3,285,-52
30.6932,4,3528,0
30.7252,5,2049,19
30.7571,6,3457,58
30.7893,7,1911,-14
30.8212,9,1486,-17
30.8531,10,2307,-7
30.885,11,2840,0
30.917,12,941,35
30.949,13,2049,2
30.981,14,1619,121
31.0131,15,1599,13
31.045,16,1829,100
31.077,17,962,16
31.109,18,2022,0
31.141,19,1556,-42
31.1729,20,2158,-4
31.2051,21,2048,-41
31.2369,22,1258,86
31.269,23,2066,0
31.3009,24,1599,0
31.3329,25,1728,3
31.3813,3,284,-52
31.4128,4,3528,0
31.4449,5,2049,18
31.4768,6,3457,59
31.5092,7,1911,-14
31.5409,9,1486,-18
31.5728,10,2307,-6
31.6048,11,2840,0
31.6368,12,941,24
31.6688,13,2048,0
31.7008,14,1620,105
31.7328,15,1599,10
31.7648,16,1829,99
31.7968,17,962,17
31.8287,18,2022,0
31.8607,19,1556,-30
31.8927,20,2158,-5
31.9247,21,2048,-40
31.9568,22,1258,84
31.9887,23,2068,-1
32.0207,24,1629,141
32.0527,25,1728,4
32.1011,3,285,-49
32.1327,4,3528,0
32.1647,5,2049,21
32.1966,6,3456,60
32.2286,7,1911,-13
32.2607,9,1486,-18
32.2926,10,2272,-122
32.3246,11,2839,1
32.3565,12,951,-8
32.3887,13,2048,0
32.4207,14,1620,108
32.4525,15,1599,15
32.4846,16,1829,99
32.5165,17,962,19
32.5485,18,2022,0
32.5804,19,1556,-35
32.613,20,2152,12
32.6444,21,2046,-24
32.6765,22,1259,87
32.7084,23,2065,0
32.7404,24,1635,85
32.7724,25,1727,3
32.8212,3,285,-48
32.8524,4,3528,0
32.8844,5,2048,27
32.9164,6,3457,63
32.9485,7,1911,-16
32.9804,9,1485,-7
33.0124,10,2261,-14
33.0444,11,2840,0
33.0764,12,982,73
33.1086,13,2048,0
33.1403,14,1620,108
33.1723,15,1599,17
33.2043,16,1829,100
33.2363,17,962,14
33.2682,18,2023,0
33.3003,19,1557,-39
33.3322,20,2153,11
33.3643,21,2046,-29
33.3962,22,1262,57
33.4281,23,2066,0
33.4602,24,1637,60
33.4922,25,1727,3
33.5405,3,284,-51
33.5722,4,3528,0
33.6043,5,2048,25
33.6361,6,3456,63
33.6682,7,1911,-14
33.7002,9,1482,0
33.7324,10,2260,-43
33.7643,11,2839,1
33.7962,12,984,66
33.8281,13,2047,2
33.8601,14,1665,152
33.8921,15,1599,19
33.9241,16,1829,99
33.9561,17,963,10
33.9882,18,2023,0
34.02,19,1557,-43
34.052,20,2152,16
34.084,21,2046,-26
34.1159,22,1262,55
34.1479,23,2065,0
34.1799,24,1640,45
34.2119,25,1728,2
34.2608,3,285,-50
34.292,4,3528,0
34.3239,5,2049,27
34.3559,6,3456,63
34.3881,7,1911,-11
34.4199,9,1485,-7
34.4518,10,2254,0
34.4838,11,2840,1
34.5158,12,987,83
34.5477,13,2048,0
34.5798,14,1665,146
34.6119,15,1599,16
34.6444,16,1829,98
34.6759,17,964,6
34.7078,18,2024,0
34.7399,19,1556,-38
34.7719,20,2118,-69
34.804,21,2047,-25
34.8476,22,1269,9
34.8836,23,2068,0
34.9156,24,1640,49
34.9477,25,1727,6
34.9961,3,284,-50
35.0276,4,3528,0
35.0597,5,2049,22
35.0916,6,3457,62
35.1237,7,1911,-16
35.1557,9,1485,-10
35.1875,10,2256,0
35.2197,11,2840,1
35.2516,12,988,52
35.2836,13,2048,0
35.3155,14,1668,136
35.3475,15,1599,20
35.3795,16,1829,98
35.4115,17,963,10
35.4434,18,2022,0
35.4755,19,1556,-52
35.5074,20,2108,-3
