time,motor,position,current
28.0185,19,1555,-31
28.0505,20,2144,-21
28.0824,21,2085,7
28.1144,22,1328,-38
28.1637,23,2074,0
28.1944,24,1597,0
28.2263,25,1804,0
28.3227,3,282,-25
28.3544,4,3528,0
28.3864,5,2032,0
28.4183,6,3462,22
28.4503,7,1911,-18
28.4823,8,2646,20
28.5142,9,1614,0
28.5462,10,2286,-15
28.5782,11,2877,-6
28.6101,12,1054,-28
28.6423,13,2045,2
28.6741,14,1583,0
28.7061,15,1766,0
28.7382,16,1828,112
28.7702,17,963,10
28.8022,18,2020,8
28.8342,19,1555,-45
28.8661,20,2145,-24
28.8981,21,2086,6
28.9301,22,1328,-38
28.9621,23,2074,0
28.994,24,1597,0
29.0261,25,1804,0
29.1224,3,281,-25
29.154,4,3528,0
29.186,5,2033,0
29.2179,6,3462,22
29.25,7,1911,-14
29.282,8,2647,20
29.3139,9,1614,0
29.3459,10,2285,-18
29.3779,11,2877,-7
29.4099,12,1055,-23
29.4419,13,2045,2
29.4739,14,1583,0
29.5058,15,1766,0
29.5378,16,1828,116
29.5698,17,963,10
29.6018,18,2020,11
29.6338,19,1555,-14
29.6658,20,2145,-21
29.6977,21,2085,7
29.7298,22,1328,-39
29.7618,23,2073,0
29.7938,24,1597,0
29.8258,25,1804,0
29.9541,3,281,-26
29.9857,4,3528,0
30.0177,5,2033,0
30.0496,6,3462,22
30.0817,7,1911,-14
30.1137,8,2647,20
30.1456,9,1614,0
30.1776,10,2285,-17
30.2096,11,2877,-6
30.2415,12,1054,-18
30.2736,13,2045,2
30.3056,14,1583,0
30.3376,15,1766,0
30.3695,16,1828,109
30.4015,17,963,10
30.4335,18,2020,8
30.4655,19,1555,-42
30.4975,20,2145,-19
30.5294,21,2085,7
30.5614,22,1328,-37
30.5934,23,2074,0
30.6254,24,1597,0
30.6574,25,1804,0
30.802,3,281,-25
30.8334,4,3528,0
30.8654,5,2049,14
30.8974,6,3462,22
30.9293,7,1911,-14
30.9613,8,2647,20
30.9933,9,1484,-3
31.0252,10,2285,-8
31.0572,11,2844,-6
31.0892,12,1054,-7
31.1212,13,2046,5
31.1532,14,1586,0
31.1853,15,1766,0
31.2173,16,1828,110
31.2491,17,963,9
31.2812,18,2021,6
31.3131,19,1556,-35
31.3457,20,2144,-27
31.3772,21,2049,-38
31.4091,22,1328,-37
31.4411,23,2068,0
31.4731,24,1597,0
31.5051,25,1804,0
31.7294,3,281,-26
31.761,4,3528,0
31.7929,5,2050,10
31.8249,6,3462,22
31.8569,7,1911,-15
31.8889,8,2647,19
31.9209,9,1484,-3
31.9529,10,2285,-7
31.9849,11,2844,-6
32.0168,12,1054,-7
32.0488,13,2047,4
32.0808,14,1586,0
32.1129,15,1766,0
32.1448,16,1828,116
32.1772,17,963,9
32.2088,18,2021,10
32.2409,19,1555,-39
32.2729,20,2145,-21
32.3047,21,2049,-39
32.3367,22,1328,-38
32.3687,23,2068,-1
32.4007,24,1597,0
32.4327,25,1804,0
32.5772,3,282,-28
32.6089,4,3528,0
32.6408,5,2055,-4
32.6728,6,3461,27
32.7047,7,1910,-3
32.7365,8,2647,15
32.7685,9,1484,0
32.8004,10,2214,-11
32.8325,11,2844,-4
32.8644,12,1307,-1455
32.8963,13,2045,7
32.9282,14,1975,170
32.9602,15,1726,333
32.9922,16,1850,-19
33.0242,17,967,0
33.0561,18,2023,0
33.0884,19,1556,-12
33.1557,20,1978,70
33.1844,21,2050,-50
33.2166,22,1986,0
33.248,23,2068,-1
33.28,24,2024,52
33.3119,25,1799,17
33.5362,3,281,-32
33.5676,4,3529,0
33.6,5,2056,-7
33.6317,6,3461,30
33.6637,7,1911,-9
33.6956,8,2647,20
33.7276,9,1480,6
33.7596,10,2199,54
33.7915,11,2846,-31
33.8235,12,1666,44
33.8557,13,2045,11
33.8875,14,1998,0
33.9195,15,1763,13
33.9516,16,1842,3
33.9838,17,962,18
34.0154,18,2022,4
34.0476,19,1556,-31
34.0796,20,2044,13
34.1116,21,2049,-46
34.1436,22,1980,22
34.1754,23,2065,1
34.2073,24,2036,-4
34.2392,25,1805,-4
34.3196,3,282,-28
34.3512,4,3529,0
34.3835,5,2057,-4
34.4152,6,3462,23
34.4472,7,1911,-10
34.4791,8,2647,18
34.5111,9,1480,5
34.5431,10,2204,14
34.5751,11,2847,-31
34.6072,12,1671,14
34.6393,13,2045,14
34.6711,14,1990,45
34.7031,15,1881,103
34.7352,16,1842,4
34.7676,17,961,21
34.7991,18,2022,0
34.8312,19,1556,-15
34.8633,20,2047,0
34.8955,21,2050,-41
34.9271,22,1982,14
34.959,23,2064,1
34.9909,24,2030,11
35.0229,25,2016,28
35.1194,3,282,-32
35.1509,4,3529,0
35.1832,5,2055,0
35.2149,6,3461,30
35.2469,7,1911,-12
35.2789,8,2647,19
35.3109,9,1480,6
35.3428,10,2204,26
35.3749,11,2847,-40
35.4068,12,1668,29
35.4391,13,2045,14
35.4708,14,1993,25
35.5028,15,1892,42
35.5351,16,1841,8
35.5669,17,961,19
35.5987,18,2022,0
35.631,19,1555,-33
35.6629,20,2049,-1
35.6949,21,2049,-43
35.727,22,1987,-9
35.7587,23,2064,0
35.7907,24,2031,15
35.8227,25,2017,31
35.8555,3,281,-34
35.8866,4,3529,0
35.9191,5,2055,-3
35.9506,6,3462,26
35.9825,7,1911,-12
36.0146,8,2647,18
36.0465,9,1480,5
36.0784,10,2204,21
36.1105,11,2847,-39
36.1425,12,1669,21
36.1747,13,2045,14
36.2065,14,1994,19
36.2384,15,1892,42
36.2707,16,1841,8
36.303,17,961,18
36.3344,18,2022,0
36.3666,19,1556,-42
36.3985,20,2049,-3
36.4306,21,2050,-39
36.4626,22,1983,0
36.4944,23,2064,0
36.5264,24,2031,17
36.5583,25,2016,32
36.5911,3,282,-36
36.6224,4,3529,0
36.6545,5,2055,-2
36.6864,6,3462,28
36.7183,7,1911,-7
36.7503,8,2647,19
36.7822,9,1480,6
36.8142,10,2204,22
36.8462,11,2846,-32
36.8781,12,1669,22
36.9104,13,2045,14
36.9423,14,1993,28
36.9741,15,1892,43
37.0062,16,1841,8
37.0381,17,962,21
37.07,18,2022,0
37.1021,19,1556,-31
37.1344,20,2049,-3
37.1663,21,2049,-41
37.1982,22,1985,-1
37.2299,23,2065,2
37.2619,24,2031,14
37.2941,25,2016,33
37.3273,3,281,-34
37.3579,4,3529,0
37.3902,5,2056,0
37.4219,6,3462,24
37.4539,7,1911,-12
37.4858,8,2647,19
37.5177,9,1480,5
37.5497,10,2204,21
37.5817,11,2846,-35
37.6137,12,1669,21
37.6459,13,2046,14
37.6777,14,1993,31
37.7095,15,1892,42
37.7419,16,1841,8
37.774,17,961,22
37.8056,18,2022,0
37.8379,19,1556,-13
37.8705,20,2049,-4
37.9021,21,2050,-42
37.934,22,1985,-4
37.9655,23,2064,1
37.9975,24,2032,15
38.0293,25,2017,34
